Song,Artist,Album,Energy,Happy
Tim McGraw,Taylor Swift,Taylor Swift,49,43
Picture To Burn,Taylor Swift,Taylor Swift,88,82
Teardrops On My Guitar - Radio Single Remix,Taylor Swift,Taylor Swift,42,29
A Place in this World,Taylor Swift,Taylor Swift,78,43
Cold As You,Taylor Swift,Taylor Swift,48,26
The Outside,Taylor Swift,Taylor Swift,81,59
Tied Together with a Smile,Taylor Swift,Taylor Swift,58,19
Stay Beautiful,Taylor Swift,Taylor Swift,63,50
Should've Said No,Taylor Swift,Taylor Swift,78,47
Mary's Song (Oh My My My),Taylor Swift,Taylor Swift,63,37
Our Song,Taylor Swift,Taylor Swift,67,54
I'm Only Me When I'm With You,Taylor Swift,Taylor Swift,93,52
Invisible,Taylor Swift,Taylor Swift,39,23
A Perfectly Good Heart,Taylor Swift,Taylor Swift,75,27
Teardrops on My Guitar - Pop Version,Taylor Swift,Taylor Swift,75,48
Last Christmas,Taylor Swift,The Taylor Swift Holiday Collection,77,69
Christmases When You Were Mine,Taylor Swift,The Taylor Swift Holiday Collection,21,39
Santa Baby,Taylor Swift,The Taylor Swift Holiday Collection,51,75
Silent Night,Taylor Swift,The Taylor Swift Holiday Collection,31,13
Christmas Must Be Something More,Taylor Swift,The Taylor Swift Holiday Collection,79,51
White Christmas,Taylor Swift,The Taylor Swift Holiday Collection,39,51
Fearless (Taylor's Version),Taylor Swift,Fearless (Taylor's Version),74,43
Fifteen (Taylor's Version),Taylor Swift,Fearless (Taylor's Version),65,29
Love Story (Taylor's Version),Taylor Swift,Fearless (Taylor's Version),79,42
Hey Stephen (Taylor's Version),Taylor Swift,Fearless (Taylor's Version),57,80
White Horse (Taylor's Version),Taylor Swift,Fearless (Taylor's Version),52,37
You Belong With Me (Taylor's Version),Taylor Swift,Fearless (Taylor's Version),77,47
Breathe (feat. Colbie Caillat) (Taylor's Version),"Taylor Swift,Colbie Caillat",Fearless (Taylor's Version),63,32
Tell Me Why (Taylor's Version),Taylor Swift,Fearless (Taylor's Version),91,54
You're Not Sorry (Taylor's Version),Taylor Swift,Fearless (Taylor's Version),44,24
The Way I Loved You (Taylor's Version),Taylor Swift,Fearless (Taylor's Version),73,47
Forever & Always (Taylor's Version),Taylor Swift,Fearless (Taylor's Version),82,67
The Best Day (Taylor's Version),Taylor Swift,Fearless (Taylor's Version),58,47
Change (Taylor's Version),Taylor Swift,Fearless (Taylor's Version),82,34
Jump Then Fall (Taylor's Version),Taylor Swift,Fearless (Taylor's Version),69,62
Untouchable (Taylor's Version),Taylor Swift,Fearless (Taylor's Version),53,22
Forever & Always (Piano Version) (Taylor's Version),Taylor Swift,Fearless (Taylor's Version),27,27
Come In With The Rain (Taylor's Version),Taylor Swift,Fearless (Taylor's Version),56,17
Superstar (Taylor's Version),Taylor Swift,Fearless (Taylor's Version),56,17
The Other Side Of The Door (Taylor's Version),Taylor Swift,Fearless (Taylor's Version),87,63
Today Was A Fairytale (Taylor's Version),Taylor Swift,Fearless (Taylor's Version),78,33
You All Over Me (feat. Maren Morris) (Taylor's Version) (From The Vault),"Taylor Swift,Maren Morris",Fearless (Taylor's Version),49,44
Mr. Perfectly Fine (Taylor's Version) (From The Vault),Taylor Swift,Fearless (Taylor's Version),82,71
We Were Happy (Taylor's Version) (From The Vault),Taylor Swift,Fearless (Taylor's Version),37,13
That's When (feat. Keith Urban) (Taylor's Version) (From The Vault),"Taylor Swift,Keith Urban",Fearless (Taylor's Version),61,51
Don't You (Taylor's Version) (From The Vault),Taylor Swift,Fearless (Taylor's Version),47,41
Bye Bye Baby (Taylor's Version) (From The Vault),Taylor Swift,Fearless (Taylor's Version),62,53
If This Was A Movie (Taylor's Version),Taylor Swift,If This Was A Movie (Taylor's Version),70,30
Love Story (Taylor's Version) - Elvira Remix,"Taylor Swift,ELVIRA",Love Story (Taylor's Version) [Elvira Remix],56,16
Crazier,Taylor Swift,Hannah Montana The Movie,54,16
Two Is Better Than One (feat. Taylor Swift),"BOYS LIKE GIRLS,Taylor Swift",Love Drunk,70,25
Should've Said No - The 3D Concert Experience,"Jonas Brothers,Taylor Swift",Music from the 3D Concert Experience,98,34
Mine (Taylor's Version),Taylor Swift,Speak Now (Taylor's Version),78,49
Sparks Fly (Taylor's Version),Taylor Swift,Speak Now (Taylor's Version),76,39
Speak Now (Taylor's Version),Taylor Swift,Speak Now (Taylor's Version),68,64
Back To December (Taylor's Version),Taylor Swift,Speak Now (Taylor's Version),64,20
Dear John (Taylor's Version),Taylor Swift,Speak Now (Taylor's Version),47,13
Mean (Taylor's Version),Taylor Swift,Speak Now (Taylor's Version),69,62
The Story Of Us (Taylor's Version),Taylor Swift,Speak Now (Taylor's Version),78,57
Never Grow Up (Taylor's Version),Taylor Swift,Speak Now (Taylor's Version),32,57
Enchanted (Taylor's Version),Taylor Swift,Speak Now (Taylor's Version),53,22
Better Than Revenge (Taylor's Version),Taylor Swift,Speak Now (Taylor's Version),89,67
Innocent (Taylor's Version),Taylor Swift,Speak Now (Taylor's Version),60,15
Haunted (Taylor's Version),Taylor Swift,Speak Now (Taylor's Version),92,36
Last Kiss (Taylor's Version),Taylor Swift,Speak Now (Taylor's Version),37,16
Long Live (Taylor's Version),Taylor Swift,Speak Now (Taylor's Version),65,8
Ours (Taylor's Version),Taylor Swift,Speak Now (Taylor's Version),49,35
Superman (Taylor's Version),Taylor Swift,Speak Now (Taylor's Version),74,36
Electric Touch (feat. Fall Out Boy) (Taylor's Version) (From The Vault),"Taylor Swift,Fall Out Boy",Speak Now (Taylor's Version),86,28
When Emma Falls in Love (Taylor's Version) (From The Vault),Taylor Swift,Speak Now (Taylor's Version),76,23
I Can See You (Taylor's Version) (From The Vault),Taylor Swift,Speak Now (Taylor's Version),76,82
Castles Crumbling (feat. Hayley Williams) (Taylor's Version) (From The Vault),"Taylor Swift,Hayley Williams",Speak Now (Taylor's Version),57,38
Foolish One (Taylor's Version) (From The Vault),Taylor Swift,Speak Now (Taylor's Version),59,54
Timeless (Taylor's Version) (From The Vault),Taylor Swift,Speak Now (Taylor's Version),59,65
Both of Us (feat. Taylor Swift),"B.o.B,Taylor Swift",Strange Clouds,72,5
Highway Don't Care,"Tim McGraw,Taylor Swift,Keith Urban",Two Lanes Of Freedom,79,50
"Sweeter Than Fiction - From ""One Chance"" Soundtrack",Taylor Swift,Sweeter Than Fiction,61,67
State Of Grace (Taylor's Version),Taylor Swift,Red (Taylor's Version),71,33
Red (Taylor's Version),Taylor Swift,Red (Taylor's Version),78,41
Treacherous (Taylor's Version),Taylor Swift,Red (Taylor's Version),59,30
I Knew You Were Trouble (Taylor's Version),Taylor Swift,Red (Taylor's Version),56,77
All Too Well (Taylor's Version),Taylor Swift,Red (Taylor's Version),53,13
22 (Taylor's Version),Taylor Swift,Red (Taylor's Version),70,64
I Almost Do (Taylor's Version),Taylor Swift,Red (Taylor's Version),56,25
We Are Never Ever Getting Back Together (Taylor's Version),Taylor Swift,Red (Taylor's Version),69,72
Stay Stay Stay (Taylor's Version),Taylor Swift,Red (Taylor's Version),68,66
The Last Time (feat. Gary Lightbody of Snow Patrol) (Taylor's Version),"Taylor Swift,Gary Lightbody",Red (Taylor's Version),53,16
Holy Ground (Taylor's Version),Taylor Swift,Red (Taylor's Version),81,51
Sad Beautiful Tragic (Taylor's Version),Taylor Swift,Red (Taylor's Version),41,23
The Lucky One (Taylor's Version),Taylor Swift,Red (Taylor's Version),57,54
Everything Has Changed (feat. Ed Sheeran) (Taylor's Version),"Taylor Swift,Ed Sheeran",Red (Taylor's Version),61,47
Starlight (Taylor's Version),Taylor Swift,Red (Taylor's Version),69,61
Begin Again (Taylor's Version),Taylor Swift,Red (Taylor's Version),53,27
The Moment I Knew (Taylor's Version),Taylor Swift,Red (Taylor's Version),40,21
Come Back...Be Here (Taylor's Version),Taylor Swift,Red (Taylor's Version),63,40
Girl At Home (Taylor's Version),Taylor Swift,Red (Taylor's Version),74,61
State Of Grace (Acoustic Version) (Taylor's Version),Taylor Swift,Red (Taylor's Version),13,10
Ronan (Taylor's Version),Taylor Swift,Red (Taylor's Version),28,38
Better Man (Taylor's Version) (From The Vault),Taylor Swift,Red (Taylor's Version),58,26
Nothing New (feat. Phoebe Bridgers) (Taylor's Version) (From The Vault),"Taylor Swift,Phoebe Bridgers",Red (Taylor's Version),38,45
Babe (Taylor's Version) (From The Vault),Taylor Swift,Red (Taylor's Version),74,75
Message In A Bottle (Taylor's Version) (From The Vault),Taylor Swift,Red (Taylor's Version),79,49
I Bet You Think About Me (feat. Chris Stapleton) (Taylor's Version) (From The Vault),"Taylor Swift,Chris Stapleton",Red (Taylor's Version),72,47
Forever Winter (Taylor's Version) (From The Vault),Taylor Swift,Red (Taylor's Version),55,41
Run (feat. Ed Sheeran) (Taylor's Version) (From The Vault),"Taylor Swift,Ed Sheeran",Red (Taylor's Version),49,44
The Very First Night (Taylor's Version) (From The Vault),Taylor Swift,Red (Taylor's Version),73,58
All Too Well (10 Minute Version) (Taylor's Version) (From The Vault),Taylor Swift,Red (Taylor's Version),52,21
Eyes Open (Taylor's Version),Taylor Swift,Eyes Open (Taylor's Version),77,26
Safe & Sound (feat. Joy Williams and John Paul White) (Taylor's Version),"Taylor Swift,Joy Williams,John Paul White",Safe & Sound (Taylor's Version),31,22
All Too Well (Sad Girl Autumn Version) - Recorded at Long Pond Studios,Taylor Swift,All Too Well (Sad Girl Autumn Version) - Recorded at Long Pond Studios,29,19
Message In A Bottle (Fat Max G Remix) (Taylor's Version),"Taylor Swift,Fat Max Gsus",Message In A Bottle (Fat Max G Remix) (Taylor's Version),73,34
All Too Well (10 Minute Version) (The Short Film),Taylor Swift,All Too Well (10 Minute Version) (The Short Film),52,19
Welcome To New York,Taylor Swift,1989,63,62
Blank Space,Taylor Swift,1989,68,58
Style,Taylor Swift,1989,79,46
Out Of The Woods,Taylor Swift,1989,84,34
All You Had To Do Was Stay,Taylor Swift,1989,74,47
Shake It Off,Taylor Swift,1989,79,94
I Wish You Would,Taylor Swift,1989,90,50
Bad Blood,Taylor Swift,1989,80,30
Wildest Dreams (Taylor's Version),Taylor Swift,Wildest Dreams (Taylor's Version),67,50
How You Get The Girl,Taylor Swift,1989,66,52
This Love (Taylor's Version),Taylor Swift,This Love (Taylor's Version),49,5
I Know Places,Taylor Swift,1989,76,51
Clean,Taylor Swift,1989,38,22
Wonderland,Taylor Swift,1989 (Deluxe Edition),69,20
You Are In Love,Taylor Swift,1989 (Deluxe Edition),48,32
New Romantics,Taylor Swift,1989 (Deluxe Edition),89,58
Bad Blood,"Taylor Swift,Kendrick Lamar",Bad Blood,66,22
I Don't Wanna Live Forever (Fifty Shades Darker),"ZAYN,Taylor Swift",Fifty Shades Darker (Original Motion Picture Soundtrack),44,10
...Ready For It?,Taylor Swift,reputation,76,42
End Game,"Taylor Swift,Ed Sheeran,Future",reputation,59,15
I Did Something Bad,Taylor Swift,reputation,60,31
Don't Blame Me,Taylor Swift,reputation,53,19
Delicate,Taylor Swift,reputation,40,5
Look What You Made Me Do,Taylor Swift,reputation,71,51
So It Goes...,Taylor Swift,reputation,61,37
Gorgeous,Taylor Swift,reputation,54,45
Dayglo Reflection,"Bobby Womack,Lana Del Rey",The Bravest Man in the Universe,65,60
I Can Fly,Lana Del Rey,Big Eyes: Music From The Original Motion Picture,47,21
Big Eyes,Lana Del Rey,Big Eyes: Music From The Original Motion Picture,32,7
Say Yes To Heaven,Lana Del Rey,Say Yes To Heaven,35,17
Hollywood Bowl,"Rob Grant,Lana Del Rey",Hollywood Bowl,23,40
Lost at Sea,"Rob Grant,Lana Del Rey",Lost At Sea,19,11
